email_id,sender,receiver,subject,body,date
17,custodian@financegroup.com,traders@investmentfirm.com,Regulatory Compliance: Transaction Reporting,"Attention Operations,

A corporate action has been announced for ISIN XX8443564600. Please find details attached.

Best,
operations@clearinghouse.com",2025-01-27 07:12:22
18,operations@clearinghouse.com,ops_team@bank.com,Regulatory Compliance: Transaction Reporting,"Hi Team,

The trade ID T320834 has failed to settle. Please investigate the reason and confirm the resolution plan.

Regards,
operations@clearinghouse.com",2025-02-14 07:12:22
19,custodian@financegroup.com,traders@investmentfirm.com,Trade Amendment Request,"Attention Operations,

A corporate action has been announced for ISIN XX7528448713. Please find details attached.

Best,
custodian@financegroup.com",2025-01-19 07:12:22
20,settlements@bank.com,risk_mgmt@bank.com,Dispute Resolution - Mismatched Settlement Date,"Hi Team,

The trade ID T595477 has failed to settle. Please investigate the reason and confirm the resolution plan.

Regards,
custodian@financegroup.com",2025-01-19 07:12:22
21,custodian@financegroup.com,traders@investmentfirm.com,Reconciliation Query - Discrepancy in Trade Settlement,"Attention Operations,

A corporate action has been announced for ISIN XX4305267750. Please find details attached.

Best,
custodian@financegroup.com",2025-01-25 07:12:22
22,tradingdesk@bank.com,traders@investmentfirm.com,Request for SSI (Standard Settlement Instructions) Update,"Dear Compliance,

We have identified a discrepancy in the settlement of trade T705275. Please review the attached report and advise on corrective action.

Regards,
tradingdesk@bank.com",2025-01-24 07:12:22
23,settlements@bank.com,compliance@bank.com,Reconciliation Query - Discrepancy in Trade Settlement,"Dear Compliance,

We have identified a discrepancy in the settlement of trade T867326. Please review the attached report and advise on corrective action.

Regards,
operations@clearinghouse.com",2025-02-13 07:12:22
24,operations@clearinghouse.com,traders@investmentfirm.com,Request for SSI (Standard Settlement Instructions) Update,"Hello,

Kindly process the settlement instruction for trade reference T318974 on settlement date 2025-02-24. Attached are the details.

Thanks,
custodian@financegroup.com",2025-01-24 07:12:22
25,custodian@financegroup.com,risk_mgmt@bank.com,Settlement Instruction - Equity Trade,"Dear Risk Management,

Please ensure the reporting of trade T523038 under regulatory guidelines before 2025-02-22.

Thanks,
operations@clearinghouse.com",2025-01-23 07:12:22
26,operations@clearinghouse.com,compliance@bank.com,Collateral Movement Confirmation,"Hi Team,

The trade ID T124467 has failed to settle. Please investigate the reason and confirm the resolution plan.

Regards,
operations@clearinghouse.com",2025-02-05 07:12:22
27,operations@clearinghouse.com,ops_team@bank.com,Settlement Instruction - Equity Trade,"Dear Team,

Please confirm the settlement of trade ID T725375 for ISIN XX2305658993 with counterparty Clearing House C. Settlement date: 2025-02-08.

Best regards,
operations@clearinghouse.com",2025-01-31 07:12:22
28,settlements@bank.com,compliance@bank.com,Urgent: Failed Settlement Alert,"Hi Team,

The trade ID T717229 has failed to settle. Please investigate the reason and confirm the resolution plan.

Regards,
tradingdesk@bank.com",2025-01-30 07:12:22
29,custodian@financegroup.com,traders@investmentfirm.com,Trade Amendment Request,"Attention Operations,

A corporate action has been announced for ISIN XX1424284887. Please find details attached.

Best,
operations@clearinghouse.com",2025-02-04 07:12:22
30,settlements@bank.com,compliance@bank.com,Urgent: Failed Settlement Alert,"Hi Team,

The trade ID T976693 has failed to settle. Please investigate the reason and confirm the resolution plan.

Regards,
tradingdesk@bank.com",2025-02-17 07:12:22
31,settlements@bank.com,ops_team@bank.com,Dispute Resolution - Mismatched Settlement Date,"Attention Operations,

A corporate action has been announced for ISIN XX8559963580. Please find details attached.

Best,
tradingdesk@bank.com",2025-02-12 07:12:22
32,custodian@financegroup.com,traders@investmentfirm.com,Corporate Action Notification - Mandatory Event,"Dear Risk Management,

Please ensure the reporting of trade T749858 under regulatory guidelines before 2025-02-20.

Thanks,
tradingdesk@bank.com",2025-02-08 07:12:22
33,custodian@financegroup.com,compliance@bank.com,Reconciliation Query - Discrepancy in Trade Settlement,"Attention Operations,

A corporate action has been announced for ISIN XX7716094059. Please find details attached.

Best,
custodian@financegroup.com",2025-01-30 07:12:22
34,settlements@bank.com,compliance@bank.com,Trade Amendment Request,"Dear Team,

Please confirm the settlement of trade ID T137813 for ISIN XX4586925492 with counterparty Bank A. Settlement date: 2025-02-12.

Best regards,
settlements@bank.com",2025-01-19 07:12:22
35,tradingdesk@bank.com,compliance@bank.com,Urgent: Failed Settlement Alert,"Dear Risk Management,

Please ensure the reporting of trade T345273 under regulatory guidelines before 2025-02-19.

Thanks,
custodian@financegroup.com",2025-02-15 07:12:22
36,settlements@bank.com,ops_team@bank.com,Settlement Instruction - Equity Trade,"Attention Operations,

A corporate action has been announced for ISIN XX9957389991. Please find details attached.

Best,
operations@clearinghouse.com",2025-02-13 07:12:22
37,operations@clearinghouse.com,compliance@bank.com,Trade Amendment Request,"Dear Risk Management,

Please ensure the reporting of trade T242068 under regulatory guidelines before 2025-02-19.

Thanks,
settlements@bank.com",2025-02-03 07:12:22
38,operations@clearinghouse.com,risk_mgmt@bank.com,Urgent: Failed Settlement Alert,"Attention Operations,

A corporate action has been announced for ISIN XX2467372833. Please find details attached.

Best,
settlements@bank.com",2025-02-02 07:12:22
39,operations@clearinghouse.com,risk_mgmt@bank.com,Dispute Resolution - Mismatched Settlement Date,"Dear Compliance,

We have identified a discrepancy in the settlement of trade T773011. Please review the attached report and advise on corrective action.

Regards,
custodian@financegroup.com",2025-02-04 07:12:22
40,operations@clearinghouse.com,risk_mgmt@bank.com,Regulatory Compliance: Transaction Reporting,"Dear Compliance,

We have identified a discrepancy in the settlement of trade T359574. Please review the attached report and advise on corrective action.

Regards,
custodian@financegroup.com",2025-02-12 07:12:22
41,tradingdesk@bank.com,compliance@bank.com,Settlement Instruction - Equity Trade,"Dear Compliance,

We have identified a discrepancy in the settlement of trade T490849. Please review the attached report and advise on corrective action.

Regards,
operations@clearinghouse.com",2025-02-01 07:12:22
42,operations@clearinghouse.com,compliance@bank.com,Reconciliation Query - Discrepancy in Trade Settlement,"Dear Team,

Please confirm the settlement of trade ID T184581 for ISIN XX9763198717 with counterparty Investment Firm B. Settlement date: 2025-02-24.

Best regards,
operations@clearinghouse.com",2025-01-19 07:12:22
43,custodian@financegroup.com,compliance@bank.com,Dispute Resolution - Mismatched Settlement Date,"Dear Team,

Please confirm the settlement of trade ID T613753 for ISIN XX1878527613 with counterparty Bank A. Settlement date: 2025-02-24.

Best regards,
operations@clearinghouse.com",2025-02-16 07:12:22
44,tradingdesk@bank.com,compliance@bank.com,Dispute Resolution - Mismatched Settlement Date,"Dear Team,

Please confirm the settlement of trade ID T689729 for ISIN XX8569669838 with counterparty Bank A. Settlement date: 2025-02-25.

Best regards,
custodian@financegroup.com",2025-02-15 07:12:22
45,custodian@financegroup.com,compliance@bank.com,Trade Amendment Request,"Hi Team,

The trade ID T638990 has failed to settle. Please investigate the reason and confirm the resolution plan.

Regards,
custodian@financegroup.com",2025-02-06 07:12:22
46,custodian@financegroup.com,ops_team@bank.com,Collateral Movement Confirmation,"Attention Operations,

A corporate action has been announced for ISIN XX2854402977. Please find details attached.

Best,
tradingdesk@bank.com",2025-02-17 07:12:22
47,custodian@financegroup.com,ops_team@bank.com,Collateral Movement Confirmation,"Hi Team,

The trade ID T972083 has failed to settle. Please investigate the reason and confirm the resolution plan.

Regards,
custodian@financegroup.com",2025-01-29 07:12:22
48,custodian@financegroup.com,compliance@bank.com,Collateral Movement Confirmation,"Dear Compliance,

We have identified a discrepancy in the settlement of trade T757669. Please review the attached report and advise on corrective action.

Regards,
operations@clearinghouse.com",2025-02-09 07:12:22
49,custodian@financegroup.com,ops_team@bank.com,Dispute Resolution - Mismatched Settlement Date,"Hello,

Kindly process the settlement instruction for trade reference T296646 on settlement date 2025-02-15. Attached are the details.

Thanks,
operations@clearinghouse.com",2025-02-02 07:12:22
50,operations@clearinghouse.com,risk_mgmt@bank.com,Trade Confirmation for ISIN XX1234567890,"Hi Team,

The trade ID T487232 has failed to settle. Please investigate the reason and confirm the resolution plan.

Regards,
custodian@financegroup.com",2025-01-22 07:12:22
51,operations@clearinghouse.com,traders@investmentfirm.com,Collateral Movement Confirmation,"Hello,

Kindly process the settlement instruction for trade reference T884719 on settlement date 2025-02-23. Attached are the details.

Thanks,
tradingdesk@bank.com",2025-02-11 07:12:22
52,settlements@bank.com,compliance@bank.com,Corporate Action Notification - Mandatory Event,"Dear Team,

Please confirm the settlement of trade ID T938852 for ISIN XX1465196900 with counterparty Investment Firm B. Settlement date: 2025-02-18.

Best regards,
operations@clearinghouse.com",2025-02-05 07:12:22
53,tradingdesk@bank.com,ops_team@bank.com,Trade Confirmation for ISIN XX1234567890,"Dear Team,

Please confirm the settlement of trade ID T547105 for ISIN XX6591327834 with counterparty Clearing House C. Settlement date: 2025-02-18.

Best regards,
tradingdesk@bank.com",2025-01-19 07:12:22
54,operations@clearinghouse.com,traders@investmentfirm.com,Collateral Movement Confirmation,"Attention Operations,

A corporate action has been announced for ISIN XX8852345042. Please find details attached.

Best,
operations@clearinghouse.com",2025-01-28 07:12:22
55,tradingdesk@bank.com,ops_team@bank.com,Collateral Movement Confirmation,"Hi Team,

The trade ID T392495 has failed to settle. Please investigate the reason and confirm the resolution plan.

Regards,
operations@clearinghouse.com",2025-02-06 07:12:22
56,tradingdesk@bank.com,ops_team@bank.com,Trade Confirmation for ISIN XX1234567890,"Hello,

Kindly process the settlement instruction for trade reference T782948 on settlement date 2025-02-20. Attached are the details.

Thanks,
settlements@bank.com",2025-02-08 07:12:22
57,operations@clearinghouse.com,traders@investmentfirm.com,Corporate Action Notification - Mandatory Event,"Dear Risk Management,

Please ensure the reporting of trade T726239 under regulatory guidelines before 2025-02-20.

Thanks,
custodian@financegroup.com",2025-01-24 07:12:22
58,operations@clearinghouse.com,risk_mgmt@bank.com,Urgent: Failed Settlement Alert,"Dear Team,

Please confirm the settlement of trade ID T722748 for ISIN XX9163510818 with counterparty Bank A. Settlement date: 2025-02-08.

Best regards,
operations@clearinghouse.com",2025-01-27 07:12:22
59,settlements@bank.com,risk_mgmt@bank.com,Reconciliation Query - Discrepancy in Trade Settlement,"Hi Team,

The trade ID T995337 has failed to settle. Please investigate the reason and confirm the resolution plan.

Regards,
custodian@financegroup.com",2025-01-21 07:12:22
60,operations@clearinghouse.com,risk_mgmt@bank.com,Trade Amendment Request,"Dear Risk Management,

Please ensure the reporting of trade T654098 under regulatory guidelines before 2025-02-20.

Thanks,
settlements@bank.com",2025-02-02 07:12:22
61,custodian@financegroup.com,ops_team@bank.com,Collateral Movement Confirmation,"Dear Compliance,

We have identified a discrepancy in the settlement of trade T563870. Please review the attached report and advise on corrective action.

Regards,
custodian@financegroup.com",2025-01-22 07:12:22
62,custodian@financegroup.com,ops_team@bank.com,Reconciliation Query - Discrepancy in Trade Settlement,"Hi Team,

The trade ID T695110 has failed to settle. Please investigate the reason and confirm the resolution plan.

Regards,
custodian@financegroup.com",2025-01-27 07:12:22
63,custodian@financegroup.com,risk_mgmt@bank.com,Corporate Action Notification - Mandatory Event,"Dear Team,

Please confirm the settlement of trade ID T657898 for ISIN XX1386043592 with counterparty Bank A. Settlement date: 2025-02-24.

Best regards,
settlements@bank.com",2025-02-10 07:12:22
64,operations@clearinghouse.com,traders@investmentfirm.com,Collateral Movement Confirmation,"Dear Risk Management,

Please ensure the reporting of trade T412992 under regulatory guidelines before 2025-02-19.

Thanks,
custodian@financegroup.com",2025-01-22 07:12:22
65,operations@clearinghouse.com,risk_mgmt@bank.com,Urgent: Failed Settlement Alert,"Dear Team,

Please confirm the settlement of trade ID T844653 for ISIN XX3431583688 with counterparty Bank A. Settlement date: 2025-02-18.

Best regards,
custodian@financegroup.com",2025-02-13 07:12:22
66,tradingdesk@bank.com,ops_team@bank.com,Trade Confirmation for ISIN XX1234567890,"Attention Operations,

A corporate action has been announced for ISIN XX4183832004. Please find details attached.

Best,
operations@clearinghouse.com",2025-01-26 07:12:22
67,settlements@bank.com,compliance@bank.com,Urgent: Failed Settlement Alert,"Hi Team,

The trade ID T407279 has failed to settle. Please investigate the reason and confirm the resolution plan.

Regards,
settlements@bank.com",2025-02-04 07:12:22
68,custodian@financegroup.com,ops_team@bank.com,Dispute Resolution - Mismatched Settlement Date,"Hello,

Kindly process the settlement instruction for trade reference T481051 on settlement date 2025-02-08. Attached are the details.

Thanks,
custodian@financegroup.com",2025-01-22 07:12:22
69,operations@clearinghouse.com,traders@investmentfirm.com,Reconciliation Query - Discrepancy in Trade Settlement,"Dear Compliance,

We have identified a discrepancy in the settlement of trade T256680. Please review the attached report and advise on corrective action.

Regards,
settlements@bank.com",2025-01-24 07:12:22
70,custodian@financegroup.com,traders@investmentfirm.com,Trade Confirmation for ISIN XX1234567890,"Dear Risk Management,

Please ensure the reporting of trade T295677 under regulatory guidelines before 2025-02-19.

Thanks,
settlements@bank.com",2025-01-24 07:12:22
71,operations@clearinghouse.com,risk_mgmt@bank.com,Collateral Movement Confirmation,"Dear Team,

Please confirm the settlement of trade ID T502380 for ISIN XX2809326096 with counterparty Investment Firm B. Settlement date: 2025-02-23.

Best regards,
operations@clearinghouse.com",2025-02-15 07:12:22
72,operations@clearinghouse.com,compliance@bank.com,Request for SSI (Standard Settlement Instructions) Update,"Hi Team,

The trade ID T654522 has failed to settle. Please investigate the reason and confirm the resolution plan.

Regards,
operations@clearinghouse.com",2025-02-02 07:12:22
73,custodian@financegroup.com,compliance@bank.com,Corporate Action Notification - Mandatory Event,"Dear Risk Management,

Please ensure the reporting of trade T550282 under regulatory guidelines before 2025-02-23.

Thanks,
settlements@bank.com",2025-02-10 07:12:22
74,tradingdesk@bank.com,compliance@bank.com,Corporate Action Notification - Mandatory Event,"Dear Compliance,

We have identified a discrepancy in the settlement of trade T297771. Please review the attached report and advise on corrective action.

Regards,
settlements@bank.com",2025-02-14 07:12:22
75,operations@clearinghouse.com,compliance@bank.com,Request for SSI (Standard Settlement Instructions) Update,"Dear Team,

Please confirm the settlement of trade ID T191252 for ISIN XX2669569136 with counterparty Investment Firm B. Settlement date: 2025-02-08.

Best regards,
tradingdesk@bank.com",2025-01-31 07:12:22
76,settlements@bank.com,ops_team@bank.com,Trade Amendment Request,"Attention Operations,

A corporate action has been announced for ISIN XX6045579136. Please find details attached.

Best,
settlements@bank.com",2025-02-15 07:12:22
77,operations@clearinghouse.com,traders@investmentfirm.com,Urgent: Failed Settlement Alert,"Attention Operations,

A corporate action has been announced for ISIN XX3200354746. Please find details attached.

Best,
settlements@bank.com",2025-02-10 07:12:22
78,custodian@financegroup.com,risk_mgmt@bank.com,Corporate Action Notification - Mandatory Event,"Hi Team,

The trade ID T326552 has failed to settle. Please investigate the reason and confirm the resolution plan.

Regards,
operations@clearinghouse.com",2025-02-09 07:12:22
79,tradingdesk@bank.com,traders@investmentfirm.com,Corporate Action Notification - Mandatory Event,"Hi Team,

The trade ID T182599 has failed to settle. Please investigate the reason and confirm the resolution plan.

Regards,
custodian@financegroup.com",2025-02-15 07:12:22
80,tradingdesk@bank.com,compliance@bank.com,Corporate Action Notification - Mandatory Event,"Attention Operations,

A corporate action has been announced for ISIN XX2224633224. Please find details attached.

Best,
operations@clearinghouse.com",2025-01-28 07:12:22
81,custodian@financegroup.com,risk_mgmt@bank.com,Dispute Resolution - Mismatched Settlement Date,"Dear Compliance,

We have identified a discrepancy in the settlement of trade T106814. Please review the attached report and advise on corrective action.

Regards,
tradingdesk@bank.com",2025-01-25 07:12:22
82,tradingdesk@bank.com,traders@investmentfirm.com,Corporate Action Notification - Mandatory Event,"Dear Compliance,

We have identified a discrepancy in the settlement of trade T612017. Please review the attached report and advise on corrective action.

Regards,
operations@clearinghouse.com",2025-01-29 07:12:22
83,settlements@bank.com,risk_mgmt@bank.com,Collateral Movement Confirmation,"Hello,

Kindly process the settlement instruction for trade reference T960057 on settlement date 2025-02-18. Attached are the details.

Thanks,
custodian@financegroup.com",2025-02-01 07:12:22
84,tradingdesk@bank.com,traders@investmentfirm.com,Corporate Action Notification - Mandatory Event,"Dear Risk Management,

Please ensure the reporting of trade T202671 under regulatory guidelines before 2025-02-20.

Thanks,
settlements@bank.com",2025-02-12 07:12:22
85,settlements@bank.com,risk_mgmt@bank.com,Request for SSI (Standard Settlement Instructions) Update,"Dear Team,

Please confirm the settlement of trade ID T600985 for ISIN XX9507723254 with counterparty Bank A. Settlement date: 2025-02-26.

Best regards,
tradingdesk@bank.com",2025-01-31 07:12:22
86,custodian@financegroup.com,compliance@bank.com,Urgent: Failed Settlement Alert,"Dear Team,

Please confirm the settlement of trade ID T839652 for ISIN XX7912367025 with counterparty Clearing House C. Settlement date: 2025-02-24.

Best regards,
operations@clearinghouse.com",2025-02-08 07:12:22
87,settlements@bank.com,ops_team@bank.com,Trade Amendment Request,"Dear Team,

Please confirm the settlement of trade ID T618539 for ISIN XX7588150637 with counterparty Investment Firm B. Settlement date: 2025-02-14.

Best regards,
operations@clearinghouse.com",2025-02-10 07:12:22
88,custodian@financegroup.com,risk_mgmt@bank.com,Reconciliation Query - Discrepancy in Trade Settlement,"Dear Risk Management,

Please ensure the reporting of trade T362903 under regulatory guidelines before 2025-02-19.

Thanks,
settlements@bank.com",2025-01-19 07:12:22
89,tradingdesk@bank.com,compliance@bank.com,Corporate Action Notification - Mandatory Event,"Hello,

Kindly process the settlement instruction for trade reference T309537 on settlement date 2025-02-25. Attached are the details.

Thanks,
tradingdesk@bank.com",2025-02-14 07:12:22
90,tradingdesk@bank.com,ops_team@bank.com,Trade Amendment Request,"Dear Team,

Please confirm the settlement of trade ID T792067 for ISIN XX2348136195 with counterparty Investment Firm B. Settlement date: 2025-02-18.

Best regards,
custodian@financegroup.com",2025-02-15 07:12:22
91,operations@clearinghouse.com,risk_mgmt@bank.com,Request for SSI (Standard Settlement Instructions) Update,"Hi Team,

The trade ID T767037 has failed to settle. Please investigate the reason and confirm the resolution plan.

Regards,
operations@clearinghouse.com",2025-01-31 07:12:22
92,tradingdesk@bank.com,traders@investmentfirm.com,Trade Amendment Request,"Dear Risk Management,

Please ensure the reporting of trade T375147 under regulatory guidelines before 2025-02-21.

Thanks,
tradingdesk@bank.com",2025-02-08 07:12:22
93,tradingdesk@bank.com,traders@investmentfirm.com,Reconciliation Query - Discrepancy in Trade Settlement,"Attention Operations,

A corporate action has been announced for ISIN XX2167012613. Please find details attached.

Best,
tradingdesk@bank.com",2025-02-07 07:12:22
94,settlements@bank.com,ops_team@bank.com,Settlement Instruction - Equity Trade,"Attention Operations,

A corporate action has been announced for ISIN XX1163524052. Please find details attached.

Best,
operations@clearinghouse.com",2025-02-05 07:12:22
95,settlements@bank.com,ops_team@bank.com,Dispute Resolution - Mismatched Settlement Date,"Attention Operations,

A corporate action has been announced for ISIN XX2662356865. Please find details attached.

Best,
operations@clearinghouse.com",2025-01-31 07:12:22
96,settlements@bank.com,risk_mgmt@bank.com,Trade Confirmation for ISIN XX1234567890,"Attention Operations,

A corporate action has been announced for ISIN XX3759743412. Please find details attached.

Best,
tradingdesk@bank.com",2025-01-28 07:12:22
97,settlements@bank.com,compliance@bank.com,Trade Amendment Request,"Hi Team,

The trade ID T682528 has failed to settle. Please investigate the reason and confirm the resolution plan.

Regards,
tradingdesk@bank.com",2025-02-02 07:12:22
98,operations@clearinghouse.com,compliance@bank.com,Corporate Action Notification - Mandatory Event,"Attention Operations,

A corporate action has been announced for ISIN XX3402932891. Please find details attached.

Best,
operations@clearinghouse.com",2025-01-24 07:12:22
99,custodian@financegroup.com,ops_team@bank.com,Trade Confirmation for ISIN XX1234567890,"Dear Team,

Please confirm the settlement of trade ID T976206 for ISIN XX3874567216 with counterparty Investment Firm B. Settlement date: 2025-02-19.

Best regards,
tradingdesk@bank.com",2025-02-16 07:12:22
100,tradingdesk@bank.com,risk_mgmt@bank.com,Regulatory Compliance: Transaction Reporting,"Dear Risk Management,

Please ensure the reporting of trade T974003 under regulatory guidelines before 2025-02-20.

Thanks,
tradingdesk@bank.com",2025-01-24 07:12:22
101,settlements@bank.com,compliance@bank.com,Dispute Resolution - Mismatched Settlement Date,"Hello,

Kindly process the settlement instruction for trade reference T277205 on settlement date 2025-02-24. Attached are the details.

Thanks,
operations@clearinghouse.com",2025-02-16 07:12:22
102,operations@clearinghouse.com,compliance@bank.com,Collateral Movement Confirmation,"Hi Team,

The trade ID T534425 has failed to settle. Please investigate the reason and confirm the resolution plan.

Regards,
custodian@financegroup.com",2025-01-19 07:12:22
103,settlements@bank.com,traders@investmentfirm.com,Trade Amendment Request,"Hi Team,

The trade ID T443150 has failed to settle. Please investigate the reason and confirm the resolution plan.

Regards,
settlements@bank.com",2025-01-22 07:12:22
104,custodian@financegroup.com,risk_mgmt@bank.com,Request for SSI (Standard Settlement Instructions) Update,"Attention Operations,

A corporate action has been announced for ISIN XX5251397027. Please find details attached.

Best,
tradingdesk@bank.com",2025-02-04 07:12:22
105,operations@clearinghouse.com,ops_team@bank.com,Collateral Movement Confirmation,"Attention Operations,

A corporate action has been announced for ISIN XX8938780876. Please find details attached.

Best,
custodian@financegroup.com",2025-01-21 07:12:22
106,tradingdesk@bank.com,compliance@bank.com,Reconciliation Query - Discrepancy in Trade Settlement,"Dear Team,

Please confirm the settlement of trade ID T902825 for ISIN XX6747436738 with counterparty Bank A. Settlement date: 2025-02-08.

Best regards,
operations@clearinghouse.com",2025-02-12 07:12:22
107,settlements@bank.com,traders@investmentfirm.com,Trade Confirmation for ISIN XX1234567890,"Dear Compliance,

We have identified a discrepancy in the settlement of trade T125576. Please review the attached report and advise on corrective action.

Regards,
custodian@financegroup.com",2025-02-08 07:12:22
108,settlements@bank.com,traders@investmentfirm.com,Reconciliation Query - Discrepancy in Trade Settlement,"Hi Team,

The trade ID T871904 has failed to settle. Please investigate the reason and confirm the resolution plan.

Regards,
settlements@bank.com",2025-01-20 07:12:22
109,custodian@financegroup.com,compliance@bank.com,Regulatory Compliance: Transaction Reporting,"Dear Risk Management,

Please ensure the reporting of trade T434400 under regulatory guidelines before 2025-02-22.

Thanks,
custodian@financegroup.com",2025-02-15 07:12:22
110,custodian@financegroup.com,traders@investmentfirm.com,Request for SSI (Standard Settlement Instructions) Update,"Dear Compliance,

We have identified a discrepancy in the settlement of trade T750542. Please review the attached report and advise on corrective action.

Regards,
settlements@bank.com",2025-01-23 07:12:22
111,tradingdesk@bank.com,risk_mgmt@bank.com,Reconciliation Query - Discrepancy in Trade Settlement,"Attention Operations,

A corporate action has been announced for ISIN XX7812227268. Please find details attached.

Best,
custodian@financegroup.com",2025-02-02 07:12:22
112,custodian@financegroup.com,risk_mgmt@bank.com,Regulatory Compliance: Transaction Reporting,"Hello,

Kindly process the settlement instruction for trade reference T423749 on settlement date 2025-02-09. Attached are the details.

Thanks,
operations@clearinghouse.com",2025-02-06 07:12:22
113,custodian@financegroup.com,traders@investmentfirm.com,Trade Amendment Request,"Hello,

Kindly process the settlement instruction for trade reference T396596 on settlement date 2025-02-20. Attached are the details.

Thanks,
settlements@bank.com",2025-01-29 07:12:22
114,operations@clearinghouse.com,risk_mgmt@bank.com,Dispute Resolution - Mismatched Settlement Date,"Dear Compliance,

We have identified a discrepancy in the settlement of trade T629420. Please review the attached report and advise on corrective action.

Regards,
operations@clearinghouse.com",2025-01-30 07:12:22
115,custodian@financegroup.com,traders@investmentfirm.com,Regulatory Compliance: Transaction Reporting,"Dear Compliance,

We have identified a discrepancy in the settlement of trade T650864. Please review the attached report and advise on corrective action.

Regards,
operations@clearinghouse.com",2025-02-04 07:12:22
116,settlements@bank.com,risk_mgmt@bank.com,Dispute Resolution - Mismatched Settlement Date,"Dear Risk Management,

Please ensure the reporting of trade T374154 under regulatory guidelines before 2025-02-20.

Thanks,
tradingdesk@bank.com",2025-02-01 07:12:22
117,settlements@bank.com,traders@investmentfirm.com,Urgent: Failed Settlement Alert,"Dear Risk Management,

Please ensure the reporting of trade T782613 under regulatory guidelines before 2025-02-21.

Thanks,
operations@clearinghouse.com",2025-01-30 07:12:22
